feature,importance
t1_close_Volume_MA10,0.190883
t1_close_Volume_MA5,0.147842
t1_close_Volume_MA20,0.103086
t1_open_Volume_MA20,0.059923
t1_close_Volume,0.037227
t1_open_Volume_MA5,0.027615
t1_open_Volume_MA10,0.019534
t1_close_ATR_14_Slope,0.008309
t1_open_Volume,0.007998
t10_obv_sma20,0.007868
t5_ema_20_slope,0.007695
t1_close_KCUe_20_2,0.007688
t1_close_HV_20,0.0076
t10_rsi_14,0.007199
t3_obv,0.00688
t5_tsi_13_25_13,0.006856
t1_close_HV_10,0.006384
t10_obv,0.006021
t1_open_HV_20,0.005913
t10_sma_20_slope,0.005675
t1_close_EMA_50,0.005562
t1_open_ATR_14_Slope,0.005397
t5_obv,0.005363
t1_open_CMF_20,0.005238
t1_close_Gap_Pct,0.005045
t1_open_BBB_20_2.0_2.0,0.004878
t1_close_STOCHk_14_3_3,0.004809
t3_obv_sma20,0.004615
t5_stochd_5_3_1,0.004609
t1_close_BBB_20_2.0_2.0,0.004562
t3_bbb_20_2_0_2_0,0.00455
t10_roc_20,0.004377
t10_rsi_21,0.004257
t10_rsi_28,0.004201
t1_close_Volume_Ratio,0.004092
t10_atr_14_slope,0.003968
t10_bbb_20_2_0_2_0,0.003945
t3_hv_20,0.003933
t1_open_HV_10,0.003931
t1_close_RSI_14,0.003837
t1_close_TSI_13_25_13,0.003696
t1_close_ATR_14,0.003645
t10_stochk_14_3_3,0.0036
t10_price_vs_sma50,0.003547
t1_close_DMN_14,0.00338
t1_close_OBV,0.003324
t1_close_TSIs_13_25_13,0.003183
t3_tsi_13_25_13,0.003069
t10_tsis_13_25_13,0.003044
t5_ema_12_26_diff,0.00303
t5_aroonosc_25,0.00295
t5_atr_20,0.002925
t3_macd_12_26_9,0.002894
t1_open_VWAP,0.002759
t10_uo,0.002647
t3_supertl_10_3,0.00263
t3_kcue_20_2,0.002623
t10_stochd_14_3_3,0.002561
t3_stochh_5_3_1,0.002554
t1_open_Gap_Pct,0.002534
t3_rsi_28,0.002519
t3_atr_14_slope,0.002476
