feature,rf_rank,mi_rank,f_rank,xgb_rank,avg_rank
HV_20,0,20,5,2,6.75
SUPERT_10_3,11,0,17,3,7.75
HV_10,1,24,8,0,8.25
DCL_20_20,6,2,13,13,8.5
HV_30,3,25,4,6,9.5
KCLe_20_2,8,12,14,5,9.75
BBL_20_2.0_2.0,16,4,18,14,13.0
BBB_20_2.0_2.0,2,28,0,27,14.25
WMA_10,13,11,31,8,15.75
SMA_10,9,16,36,12,18.25
EMA_20,38,5,33,9,21.25
CCI_20,5,35,2,48,22.5
EMA_5,15,19,22,40,24.0
Volume_Ratio,26,61,6,11,26.0
EMA_12,45,10,34,16,26.25
HMA_9,42,23,21,20,26.5
EMA_10,31,14,29,32,26.5
SMA_20,52,9,26,19,26.5
CCI_14,4,31,1,72,27.0
SMA_50,35,27,30,18,27.5
EMA_50,44,26,37,4,27.75
SMA_5,20,21,27,52,30.0
TSIs_13_25_13,28,58,3,36,31.25
WMA_20,63,18,24,21,31.5
Open,36,34,19,38,31.75
EMA_26,72,17,28,15,33.0
VWMA_20,87,15,35,1,34.5
Low,7,29,15,88,34.75
OBV_SMA20,10,40,60,30,35.0
OBV,14,41,51,35,35.25
DCU_20_20,49,1,48,43,35.25
DCM_20_20,67,3,40,31,35.25
BBU_20_2.0_2.0,60,13,44,25,35.5
HMA_20,73,22,38,10,35.75
BBM_20_2.0_2.0,23,8,25,95,37.75
VWAP,68,33,43,7,37.75
ATR_20,12,45,79,17,38.25
KCUe_20_2,75,7,45,26,38.25
Volume_MA10,18,64,55,22,39.75
STOCHh_5_3_1,40,69,12,45,41.5
Volume_MA20,21,56,59,37,43.25
RSI_14_Slope,59,49,7,63,44.5
ATR_14,17,57,84,23,45.25
RSI_21,55,47,46,34,45.5
Volume,24,87,56,24,47.75
KCBe_20_2,66,6,32,90,48.5
RSI_28,33,70,39,57,49.75
Close,69,39,23,68,49.75
Price_vs_SMA50,43,53,65,39,50.0
High,39,38,42,81,50.0
Price_vs_EMA20,57,30,52,61,50.0
SMA_20_Slope,41,44,68,47,50.0
ROC_10,50,32,47,75,51.0
TSI_13_25_13,47,76,9,77,52.25
MACDs_12_26_9,37,65,75,33,52.5
STOCHd_14_3_3,61,60,10,79,52.5
SUPERTl_10_3,77,37,50,46,52.5
ROC_20,56,42,57,56,52.75
DMP_14,30,54,64,66,53.5
ADX_14,27,75,73,44,54.75
SMA_20_50_Diff,29,80,74,42,56.25
Price_vs_SMA20,65,36,49,80,57.5
ATR_7,19,59,87,65,57.5
CMF_20,25,73,92,41,57.75
Volume_MA5,34,82,54,62,58.0
ADXR_14_2,22,67,77,69,58.75
MFI_14,46,66,53,71,59.0
DMN_14,32,55,83,73,60.75
AROONOSC_25,91,91,16,51,62.25
MACDh_12_26_9,74,78,72,29,63.25
AROOND_25,93,93,11,58,63.75
UO,51,83,69,53,64.0
EMA_12_26_Diff,58,63,81,54,64.0
MACD_12_26_9,54,72,82,49,64.25
MACDs_Fast,85,52,95,28,65.0
RSI_14,89,46,62,64,65.25
EMA_20_Slope,48,43,93,83,66.75
STOCHh_14_3_3,82,74,20,93,67.25
STOCHk_14_3_3,76,68,41,87,68.0
Gap_Pct,70,51,76,78,68.75
STOCHk_5_3_1,64,89,63,59,68.75
BBP_20_2.0_2.0,71,50,71,86,69.5
MACDh_Fast,53,62,89,76,70.0
RSI_7,84,48,85,84,75.25
MACD_Fast,86,71,94,55,76.5
WILLR_14,81,85,66,74,76.5
AROONU_25,94,92,58,67,77.75
MOM_20,83,88,91,50,78.0
AO,78,77,90,70,78.75
ATR_14_Slope,62,95,80,85,80.5
MOM_10,90,90,86,60,81.5
MACD_ROC,79,81,78,91,82.25
STOCHd_5_3_1,88,79,70,92,82.25
STOCHRSIk_14_14_3_3,92,84,67,89,83.0
STOCHRSId_14_14_3_3,80,86,88,82,84.0
SUPERTd_10_3,95,94,61,94,86.0
