representative_feature,cluster_members,cluster_size,times_selected,frequency
t1_close_EMA_50,"t1_close_EMA_50, t1_open_EMA_50",2,8,1.0
t1_open_ATR_14,"t1_close_ATR_14, t1_close_EMA_20, t1_open_ATR_14",3,8,1.0
t1_open_DCM_20_20,"t1_close_DCM_20_20, t1_open_DCM_20_20",2,8,1.0
t1_close_KCUe_20_2,"t1_close_KCUe_20_2, t1_open_EMA_20",2,8,1.0
t1_close_HV_10,"t1_close_HV_10, t1_open_HV_10",2,8,1.0
t1_open_HV_20,"t1_close_HV_20, t1_close_HV_30, t1_open_HV_20, t1_open_HV_30",4,7,0.875
t3_atr_20,"t10_atr_20, t3_atr_20, t5_atr_14, t5_atr_20",4,5,0.625
t1_close_BBU_20_2.0_2.0,"t10_ema_12_26_diff, t10_ema_50, t1_close_BBU_20_2.0_2.0, t1_close_MACDs_12_26_9, t1_close_SMA_50, t1_open_BBU_20_2.0_2.0, t3_ema_50, t3_kcbe_20_2, t3_kcue_20_2, t5_ema_50",10,4,0.5
t3_atr_7,t3_atr_7,1,3,0.375
t1_close_DCU_20_20,"t1_close_DCU_20_20, t1_open_DCU_20_20, t3_dcm_20_20",3,2,0.25
t1_close_TSI_13_25_13,t1_close_TSI_13_25_13,1,1,0.125
