feature,times_selected,frequency,mean_importance
t1_open_DCL_20_20,8,1.0,0.08024
t1_close_BBB_20_2.0_2.0,8,1.0,0.03193
has_t1_features,7,0.875,0.07246
t10_hv_30,6,0.75,0.18685
t10_atr_14,6,0.75,0.03767
t1_close_Volume_MA10,6,0.75,0.0284
t3_hv_30,5,0.625,0.21472
t1_close_DCL_20_20,4,0.5,0.18394
t1_close_BBL_20_2.0_2.0,4,0.5,0.15101
t1_close_ROC_10,4,0.5,0.03464
t5_hv_10,4,0.5,0.03187
t10_atr_14_slope,4,0.5,0.02301
t1_close_Price_vs_EMA20,3,0.375,0.05135
t3_hv_20,3,0.375,0.04429
t10_dcl_20_20,3,0.375,0.03531
t5_atr_14,3,0.375,0.02274
t1_close_Volume_MA5,3,0.375,0.02135
t3_bbb_20_2_0_2_0,3,0.375,0.01816
t1_close_SMA_20_50_Diff,3,0.375,0.01756
t3_atr_14_slope,3,0.375,0.0158
t10_sma_20_50_diff,3,0.375,0.01159
t3_cci_14,3,0.375,0.01136
t5_atr_14_slope,3,0.375,0.0112
t1_open_Volume_MA10,3,0.375,0.00936
t5_macdh_fast,3,0.375,0.00906
t1_close_VWAP,3,0.375,0.00696
t5_rsi_14_slope,3,0.375,0.00497
t5_dmn_14,3,0.375,0.00392
t10_cci_20,3,0.375,0.00359
t5_hv_30,2,0.25,0.20134
t3_hv_10,2,0.25,0.04932
t1_open_Price_vs_SMA20,2,0.25,0.04598
t1_close_EMA_20_Slope,2,0.25,0.0428
t10_bbl_20_2_0_2_0,2,0.25,0.02619
t10_hv_10,2,0.25,0.01938
t10_dcu_20_20,2,0.25,0.01591
t1_close_SMA_20_Slope,2,0.25,0.01233
t3_dcu_20_20,2,0.25,0.00867
t1_open_EMA_20_Slope,2,0.25,0.0064
t5_obv_sma20,2,0.25,0.00626
t1_close_Gap_Pct,2,0.25,0.0056
t10_sma_20_slope,2,0.25,0.00532
t10_obv_sma20,2,0.25,0.00361
t1_open_BBB_20_2.0_2.0,2,0.25,0.00357
t3_rsi_14_slope,2,0.25,0.00354
t10_rsi_14_slope,2,0.25,0.00181
t5_sma_20_slope,2,0.25,0.0017
t10_dmn_14,2,0.25,0.00156
t10_obv,2,0.25,0.00102
t10_hv_20,1,0.125,0.1053
t1_close_Price_vs_SMA50,1,0.125,0.06342
t1_close_KCLe_20_2,1,0.125,0.03637
t3_atr_14,1,0.125,0.03345
t5_bbl_20_2_0_2_0,1,0.125,0.02923
t1_close_Price_vs_SMA20,1,0.125,0.02875
t10_hma_9,1,0.125,0.02777
t1_close_WILLR_14,1,0.125,0.01971
t1_close_DMN_14,1,0.125,0.01626
t3_hma_20,1,0.125,0.01116
t5_obv,1,0.125,0.01108
t5_adx_14,1,0.125,0.01098
t3_sma_20_50_diff,1,0.125,0.01073
t10_macdh_12_26_9,1,0.125,0.01019
t10_volume_ma20,1,0.125,0.00839
t1_open_STOCHk_14_3_3,1,0.125,0.00783
t1_close_Volume_Ratio,1,0.125,0.00772
t5_dcm_20_20,1,0.125,0.00644
t5_sma_20_50_diff,1,0.125,0.00483
t1_open_SMA_20_50_Diff,1,0.125,0.00443
t3_volume_ratio,1,0.125,0.00441
t10_volume_ma5,1,0.125,0.00435
t3_volume_ma5,1,0.125,0.00393
t1_open_VWAP,1,0.125,0.00369
t1_close_HV_10,1,0.125,0.00365
t3_sma_20_slope,1,0.125,0.00363
t10_ema_12_26_diff,1,0.125,0.0029
t5_macdh_12_26_9,1,0.125,0.00186
t10_ema_20_slope,1,0.125,0.00182
t3_ema_20_slope,1,0.125,0.0007
t1_open_HV_30,1,0.125,0.00037
t3_macd_fast,1,0.125,0.00026
t10_mom_10,1,0.125,0.00026
t10_macds_fast,1,0.125,0.00015
