feature,cluster_id,cluster_size,model_importance,label_corr_abs,nan_rate,kept_as_representative
t10_bbl_20_2_0_2_0,100,75,0.02345,0.2945,0.0277,False
t10_bbm_20_2_0_2_0,100,75,0.00152,0.2989,0.0277,False
t10_bbu_20_2_0_2_0,100,75,0.00075,0.2985,0.0277,False
t10_dcl_20_20,100,75,0.00255,0.2948,0.0288,False
t10_ema_10,100,75,0.00112,0.2986,0.0159,False
t10_ema_12,100,75,0.00074,0.2973,0.0187,False
t10_ema_20,100,75,0.0,0.2984,0.0272,False
t10_ema_26,100,75,0.00032,0.2965,0.03,False
t10_ema_5,100,75,0.00217,0.3002,0.0146,False
t10_ema_50,100,75,0.00315,0.2748,0.0608,False
t10_hma_20,100,75,0.00203,0.3007,0.0293,False
t10_hma_9,100,75,0.0,0.3008,0.0177,False
t10_kcbe_20_2,100,75,0.00088,0.2992,0.0282,False
t10_kcle_20_2,100,75,0.0,0.2988,0.0282,False
t10_kcue_20_2,100,75,0.00151,0.2977,0.0282,False
t10_sma_10,100,75,0.00092,0.2976,0.0163,False
t10_sma_20,100,75,0.0,0.2989,0.0277,False
t10_sma_5,100,75,0.00046,0.2999,0.015,False
t10_sma_50,100,75,0.0,0.2761,0.0619,False
t10_supert_10_3,100,75,0.01507,0.3026,0.0174,False
t10_superts_10_3,100,75,0.00101,0.2375,0.4199,False
t10_vwap,100,75,0.00102,0.304,0.0225,False
t10_vwma_20,100,75,0.00294,0.299,0.0302,False
t10_wma_10,100,75,0.00148,0.2991,0.0163,False
t10_wma_20,100,75,0.00206,0.3,0.0277,False
t3_bbl_20_2_0_2_0,100,75,0.00223,0.2977,0.0199,False
t3_bbm_20_2_0_2_0,100,75,0.0,0.3005,0.0199,False
t3_bbu_20_2_0_2_0,100,75,0.00089,0.298,0.0199,False
t3_dcl_20_20,100,75,0.01191,0.2976,0.0213,False
t3_ema_10,100,75,0.00047,0.3039,0.0146,False
t3_ema_12,100,75,0.00123,0.3033,0.0153,False
t3_ema_20,100,75,0.0,0.3003,0.0191,False
t3_ema_26,100,75,0.0,0.2978,0.0248,False
t3_ema_5,100,75,0.0,0.3051,0.0131,False
t3_ema_50,100,75,0.00084,0.2752,0.0532,False
t3_hma_20,100,75,0.0,0.3026,0.0238,False
t3_hma_9,100,75,0.00204,0.3051,0.0158,False
t3_kcbe_20_2,100,75,0.0,0.3003,0.0205,False
t3_kcle_20_2,100,75,0.00665,0.3014,0.0205,False
t3_kcue_20_2,100,75,9e-05,0.2969,0.0205,False
t3_sma_10,100,75,0.0,0.3033,0.0153,False
t3_sma_20,100,75,0.0,0.3005,0.0199,False
t3_sma_5,100,75,0.00602,0.3046,0.0137,False
t3_sma_50,100,75,0.0012,0.2775,0.0546,False
t3_supert_10_3,100,75,0.00041,0.3007,0.0166,False
t3_superts_10_3,100,75,0.00145,0.237,0.4065,False
t3_vwap,100,75,0.00072,0.3059,0.0203,False
t3_vwma_20,100,75,0.00397,0.3018,0.0213,False
t3_wma_10,100,75,0.00091,0.3041,0.0153,False
t3_wma_20,100,75,0.0,0.302,0.0199,False
t5_bbl_20_2_0_2_0,100,75,0.00176,0.2965,0.0233,False
t5_bbm_20_2_0_2_0,100,75,0.0,0.3007,0.0233,False
t5_bbu_20_2_0_2_0,100,75,0.0,0.2998,0.0233,False
t5_dcl_20_20,100,75,0.0074,0.296,0.0245,False
t5_ema_10,100,75,0.0,0.3006,0.015,False
t5_ema_12,100,75,0.00053,0.2999,0.0155,False
t5_ema_20,100,75,0.00049,0.3003,0.0225,False
t5_ema_26,100,75,0.00076,0.2973,0.0275,False
t5_ema_5,100,75,0.00127,0.3019,0.0133,False
t5_ema_50,100,75,0.00143,0.2761,0.0573,False
t5_hma_20,100,75,0.00014,0.3028,0.0252,False
t5_hma_9,100,75,0.0,0.3019,0.0159,False
t5_kcbe_20_2,100,75,0.00057,0.3004,0.0238,False
t5_kcle_20_2,100,75,0.03841,0.3005,0.0238,True
t5_kcue_20_2,100,75,0.00054,0.2982,0.0238,False
t5_sma_10,100,75,0.00072,0.3006,0.0156,False
t5_sma_20,100,75,0.0,0.3007,0.0233,False
t5_sma_5,100,75,0.0,0.3018,0.0138,False
t5_sma_50,100,75,0.0,0.278,0.0586,False
t5_supert_10_3,100,75,0.0013,0.3014,0.0167,False
t5_superts_10_3,100,75,0.00062,0.2459,0.4072,False
t5_vwap,100,75,0.00114,0.3063,0.019,False
t5_vwma_20,100,75,0.00118,0.3015,0.0247,False
t5_wma_10,100,75,0.0,0.3013,0.0156,False
t5_wma_20,100,75,0.0,0.3018,0.0233,False
t1_close_BBU_20_2.0_2.0,110,42,0.00058,0.1266,0.6809,False
t1_close_BBL_20_2.0_2.0,110,42,0.00086,0.133,0.6809,False
t1_close_BBM_20_2.0_2.0,110,42,0.0011,0.1298,0.6809,False
t1_close_KCUe_20_2,110,42,0.00074,0.1293,0.6809,False
t1_close_KCLe_20_2,110,42,5e-05,0.1302,0.6809,False
t1_close_KCBe_20_2,110,42,0.0,0.1298,0.6809,False
t1_close_DCU_20_20,110,42,0.0,0.1264,0.6809,False
t1_close_DCL_20_20,110,42,0.00168,0.1328,0.6809,False
t1_close_DCM_20_20,110,42,0.00011,0.1296,0.6809,False
t1_close_EMA_5,110,42,0.00025,0.1302,0.6809,False
t1_close_EMA_10,110,42,0.0005,0.13,0.6809,False
t1_close_EMA_20,110,42,0.0,0.1298,0.6809,False
t1_close_EMA_50,110,42,0.0,0.129,0.681,False
t1_close_SMA_5,110,42,0.0005,0.1302,0.6809,False
t1_close_SMA_10,110,42,0.00073,0.1299,0.6809,False
t1_close_SMA_20,110,42,0.0,0.1298,0.6809,False
t1_close_SMA_50,110,42,0.00055,0.1291,0.6811,False
t1_close_VWAP,110,42,0.00057,0.0956,0.6809,False
t1_close_Price_vs_SMA20,110,42,0.0,0.1298,0.6809,False
t1_close_Price_vs_SMA50,110,42,0.0,0.1291,0.6811,False
t1_close_Price_vs_EMA20,110,42,0.0,0.1298,0.6809,False
t1_open_BBU_20_2.0_2.0,110,42,0.0,0.125,0.6812,False
t1_open_BBL_20_2.0_2.0,110,42,0.0,0.1322,0.6812,False
t1_open_BBM_20_2.0_2.0,110,42,0.0,0.1286,0.6812,False
t1_open_KCUe_20_2,110,42,0.00082,0.1283,0.6809,False
t1_open_KCLe_20_2,110,42,0.00322,0.1292,0.6809,True
t1_open_KCBe_20_2,110,42,0.00262,0.1286,0.6812,False
t1_open_DCU_20_20,110,42,2e-05,0.1251,0.6812,False
t1_open_DCL_20_20,110,42,0.00145,0.1327,0.6812,False
t1_open_DCM_20_20,110,42,0.0,0.1289,0.6812,False
t1_open_EMA_5,110,42,0.0,0.1297,0.6811,False
t1_open_EMA_10,110,42,0.0,0.1292,0.6811,False
t1_open_EMA_20,110,42,0.0,0.1289,0.6811,False
t1_open_EMA_50,110,42,0.0003,0.128,0.6813,False
t1_open_SMA_5,110,42,0.0,0.1293,0.6812,False
t1_open_SMA_10,110,42,0.0,0.1289,0.6812,False
t1_open_SMA_20,110,42,0.0,0.1286,0.6812,False
t1_open_SMA_50,110,42,0.0,0.1281,0.6814,False
t1_open_VWAP,110,42,0.00097,0.0974,0.6812,False
t1_open_Price_vs_SMA20,110,42,0.0,0.1286,0.6812,False
t1_open_Price_vs_SMA50,110,42,0.0,0.1281,0.6814,False
t1_open_Price_vs_EMA20,110,42,0.0,0.1289,0.6811,False
t3_ao,33,8,0.0,0.0631,0.0315,False
t3_ema_12_26_diff,33,8,0.0007,0.0714,0.0248,False
t3_macd_12_26_9,33,8,0.00037,0.072,0.0281,False
t3_mom_20,33,8,0.00202,0.0595,0.0204,True
t5_ao,33,8,0.00139,0.0562,0.0342,False
t5_ema_12_26_diff,33,8,0.0004,0.0699,0.0275,False
t5_macd_12_26_9,33,8,5e-05,0.0701,0.0282,False
t5_mom_20,33,8,0.00095,0.0521,0.024,False
t10_atr_7,92,7,0.02042,0.1979,0.0154,True
t3_atr_14,92,7,0.00546,0.1879,0.0157,False
t3_atr_20,92,7,0.00083,0.1747,0.0191,False
t3_atr_7,92,7,0.00178,0.2003,0.0138,False
t5_atr_14,92,7,0.01821,0.2009,0.0159,False
t5_atr_20,92,7,0.00973,0.1975,0.0225,False
t5_atr_7,92,7,0.01061,0.2048,0.0142,False
t10_macds_12_26_9,31,6,0.00761,0.0686,0.0436,False
t10_sma_20_50_diff,31,6,0.00537,0.0706,0.0619,False
t3_macds_12_26_9,31,6,0.00078,0.0672,0.0303,False
t3_sma_20_50_diff,31,6,0.00609,0.069,0.0546,False
t5_macds_12_26_9,31,6,0.0078,0.0661,0.0331,False
t5_sma_20_50_diff,31,6,0.01119,0.0666,0.0586,True
t10_tsi_13_25_13,72,6,0.00123,0.1993,0.0335,False
t10_tsis_13_25_13,72,6,0.00072,0.2209,0.0335,False
t3_tsi_13_25_13,72,6,0.00045,0.1603,0.0328,False
t3_tsis_13_25_13,72,6,0.00065,0.2021,0.0328,False
t5_tsi_13_25_13,72,6,0.00259,0.1809,0.033,True
t5_tsis_13_25_13,72,6,0.00068,0.2108,0.033,False
t10_adx_14,80,6,0.00104,0.0709,0.0232,False
t10_adxr_14_2,80,6,0.0005,0.0675,0.025,False
t3_adx_14,80,6,0.00149,0.0968,0.018,True
t3_adxr_14_2,80,6,0.00103,0.0926,0.0182,False
t5_adx_14,80,6,0.00107,0.0851,0.0182,False
t5_adxr_14_2,80,6,0.00067,0.084,0.0193,False
t10_dcm_20_20,99,6,0.00467,0.1921,0.0288,False
t10_dcu_20_20,99,6,0.00054,0.117,0.0288,False
t3_dcm_20_20,99,6,0.0,0.1669,0.0213,False
t3_dcu_20_20,99,6,0.00572,0.0943,0.0213,True
t5_dcm_20_20,99,6,0.00071,0.1722,0.0245,False
t5_dcu_20_20,99,6,0.0,0.0991,0.0245,False
t3_hv_10,102,6,0.00611,0.325,0.0151,False
t3_hv_20,102,6,0.03235,0.391,0.0197,False
t3_hv_30,102,6,0.06756,0.4175,0.0292,False
t5_hv_10,102,6,0.00706,0.3369,0.0154,False
t5_hv_20,102,6,0.00043,0.4039,0.0235,False
t5_hv_30,102,6,0.20746,0.4296,0.0307,True
t1_close_HV_10,107,6,0.00693,0.6326,0.6844,True
t1_close_HV_20,107,6,0.00436,0.6356,0.6926,False
t1_close_HV_30,107,6,0.00113,0.6248,0.701,False
t1_open_HV_10,107,6,0.00561,0.6337,0.6852,False
t1_open_HV_20,107,6,0.00165,0.6336,0.6935,False
t1_open_HV_30,107,6,0.00288,0.6224,0.7017,False
t10_ao,34,5,0.001,0.06,0.0446,True
t10_ema_12_26_diff,34,5,0.00094,0.0761,0.03,False
t10_macd_12_26_9,34,5,0.0,0.0763,0.03,False
t10_macd_fast,34,5,0.0,0.0491,0.0191,False
t10_mom_20,34,5,0.00071,0.0557,0.028,False
t3_stochd_14_3_3,45,5,0.00078,0.1658,0.0174,False
t3_stochk_14_3_3,45,5,0.00068,0.1511,0.0174,False
t5_stochd_14_3_3,45,5,0.00112,0.1889,0.0198,False
t5_stochk_14_3_3,45,5,0.00052,0.1734,0.0184,False
t5_willr_14,45,5,0.00116,0.1478,0.0176,True
t10_cci_20,89,5,0.00089,0.1694,0.0298,False
t3_cci_14,89,5,0.00243,0.1621,0.0175,True
t3_cci_20,89,5,0.00093,0.1708,0.0209,False
t5_cci_14,89,5,0.00183,0.165,0.0176,False
t5_cci_20,89,5,0.0,0.1678,0.0243,False
t1_close_RSI_14,135,5,0.00047,0.0002,0.6809,True
t1_close_STOCHk_14_3_3,135,5,0.0,0.0249,0.6809,False
t1_close_WILLR_14,135,5,0.0,0.0249,0.6809,False
t1_close_CCI_20,135,5,0.0,0.0054,0.6809,False
t1_close_BBP_20_2.0_2.0,135,5,0.0,0.0026,0.6809,False
t10_volume_ma10,3,4,0.0009,0.0025,0.0183,False
t10_volume_ma5,3,4,0.00158,0.0018,0.0177,False
t5_volume_ma10,3,4,0.00072,0.0005,0.0178,False
t5_volume_ma5,3,4,0.00223,0.0153,0.0169,True
t10_macdh_12_26_9,27,4,0.01732,0.0279,0.0436,True
t10_macdh_fast,27,4,0.00201,0.0253,0.0238,False
t3_macdh_12_26_9,27,4,0.0059,0.028,0.0303,False
t5_macdh_12_26_9,27,4,0.00998,0.0248,0.0331,False
t3_rsi_21,71,4,0.00237,0.1374,0.0185,True
t3_rsi_28,71,4,0.0011,0.1324,0.0252,False
t5_rsi_21,71,4,0.00088,0.1573,0.0186,False
t5_rsi_28,71,4,0.00037,0.1456,0.0253,False
t1_close_EMA_20_Slope,109,4,0.00042,0.0003,0.681,False
t1_close_SMA_20_Slope,109,4,0.00117,0.0003,0.681,False
t1_open_EMA_20_Slope,109,4,0.00106,0.0005,0.6815,False
t1_open_SMA_20_Slope,109,4,0.00124,0.0005,0.6817,True
t1_open_RSI_14,125,4,0.0005,0.0076,0.6811,True
t1_open_DMP_14,125,4,0.0004,0.1691,0.6829,False
t1_open_CCI_20,125,4,0.00026,0.0036,0.6812,False
t1_open_BBP_20_2.0_2.0,125,4,0.0,0.0025,0.6812,False
t3_macd_fast,29,3,0.00109,0.0501,0.0155,False
t5_macd_fast,29,3,0.00164,0.0456,0.0157,True
t5_mom_10,29,3,8e-05,0.043,0.0159,False
t10_price_vs_ema20,49,3,0.0,0.1402,0.0275,False
t10_price_vs_sma20,49,3,0.00224,0.0774,0.0277,True
t10_price_vs_sma50,49,3,0.0005,0.1147,0.0619,False
t3_price_vs_ema20,53,3,0.00176,0.0851,0.0197,True
t3_price_vs_sma20,53,3,0.0,0.0278,0.0199,False
t3_roc_10,53,3,0.00035,0.0206,0.0158,False
t5_price_vs_ema20,54,3,0.00086,0.1065,0.023,False
t5_price_vs_sma20,54,3,0.00116,0.0499,0.0233,True
t5_roc_10,54,3,0.00083,0.0019,0.0159,False
t10_supertl_10_3,101,3,0.00114,0.1104,0.3591,True
t3_supertl_10_3,101,3,0.00084,0.0552,0.3713,False
t5_supertl_10_3,101,3,0.0011,0.0696,0.3708,False
t1_open_STOCHk_14_3_3,124,3,0.0,0.0321,0.6812,False
t1_open_WILLR_14,124,3,0.0,0.0321,0.6812,False
t1_open_UO,124,3,0.00015,0.0155,0.6813,True
t3_volume_ma20,1,2,0.0,0.0031,0.0176,True
t5_volume_ma20,1,2,0.0,0.0226,0.021,False
t10_obv,2,2,0.00171,0.0147,0.0187,False
t5_obv,2,2,0.0034,0.0254,0.018,True
t3_volume_ma10,4,2,0.00196,0.0127,0.0176,True
t3_volume_ma5,4,2,0.00156,0.0289,0.0168,False
t10_ema_20_slope,12,2,0.00088,0.0434,0.029,True
t10_sma_20_slope,12,2,0.00078,0.0446,0.0296,False
t3_ema_20_slope,24,2,0.00095,0.0257,0.0241,True
t3_sma_20_slope,24,2,0.00083,0.0303,0.0244,False
t5_ema_20_slope,25,2,0.00056,0.0285,0.0269,False
t5_sma_20_slope,25,2,0.00065,0.0361,0.0271,True
t3_macdh_fast,26,2,0.00364,0.0298,0.0164,True
t5_macdh_fast,26,2,0.00123,0.0209,0.0189,False
t3_macds_fast,28,2,0.00049,0.0434,0.0164,True
t5_macds_fast,28,2,0.0,0.0411,0.0189,False
t3_stochrsid_14_14_3_3,38,2,0.00063,0.0214,0.0287,True
t3_stochrsik_14_14_3_3,38,2,4e-05,0.003,0.0287,False
t5_stochrsid_14_14_3_3,39,2,0.00047,0.0593,0.029,True
t5_stochrsik_14_14_3_3,39,2,0.00028,0.0452,0.0288,False
t3_rsi_14,42,2,0.00293,0.117,0.0162,True
t3_rsi_7,42,2,1e-05,0.0771,0.0145,False
t3_bbp_20_2_0_2_0,43,2,0.00141,0.0256,0.0199,True
t3_willr_14,43,2,0.0,0.1306,0.0175,False
t5_rsi_14,44,2,5e-05,0.1433,0.0165,True
t5_rsi_7,44,2,0.0,0.1072,0.0147,False
t3_price_vs_sma50,52,2,0.0009,0.0713,0.0546,True
t3_roc_20,52,2,0.00028,0.0024,0.0204,False
t5_price_vs_sma50,55,2,0.00037,0.1087,0.0586,False
t5_roc_20,55,2,0.00079,0.0062,0.024,True
t3_cmf_20,56,2,0.00104,0.1828,0.0225,True
t5_cmf_20,56,2,0.00056,0.1835,0.0258,False
t10_stochrsid_14_14_3_3,63,2,0.00083,0.0225,0.0294,True
t10_stochrsik_14_14_3_3,63,2,0.0,0.0213,0.0294,False
t10_bbp_20_2_0_2_0,64,2,0.0,0.0586,0.0277,False
t10_willr_14,64,2,0.00053,0.1472,0.0238,True
t10_stochd_14_3_3,65,2,0.00144,0.1671,0.0249,True
t10_stochk_14_3_3,65,2,0.00072,0.1588,0.0239,False
t3_supertd_10_3,67,2,0.00035,0.0621,0.0159,True
t5_supertd_10_3,67,2,0.0,0.076,0.0162,False
t10_aroonosc_25,69,2,0.0008,0.1445,0.0309,False
t10_aroonu_25,69,2,0.00154,0.1387,0.0309,True
t10_rsi_21,73,2,0.00192,0.1765,0.0195,True
t10_rsi_28,73,2,9e-05,0.1587,0.0259,False
t10_rsi_14,74,2,0.00198,0.1669,0.0176,True
t10_rsi_7,74,2,6e-05,0.125,0.0163,False
t3_aroonu_25,75,2,0.00086,0.0803,0.0257,True
t5_aroonu_25,75,2,0.00071,0.0969,0.0283,False
t3_aroonosc_25,76,2,0.00107,0.1064,0.0257,True
t5_aroonosc_25,76,2,0.0,0.1175,0.0283,False
t3_aroond_25,77,2,0.00119,0.1072,0.0257,True
t5_aroond_25,77,2,0.0,0.1107,0.0283,False
t3_dmn_14,78,2,0.00131,0.052,0.0177,True
t5_dmn_14,78,2,0.00084,0.0428,0.0178,False
t3_dmp_14,81,2,0.00066,0.0449,0.0177,False
t5_dmp_14,81,2,0.00089,0.0564,0.0178,True
t10_atr_14,91,2,0.00436,0.1515,0.021,False
t10_atr_20,91,2,0.00544,0.1142,0.0272,True
t3_stochh_14_3_3,93,2,0.00074,0.0191,0.0174,False
t5_stochh_14_3_3,93,2,0.00077,0.0176,0.0198,True
t10_hv_20,103,2,0.00058,0.4532,0.0276,False
t10_hv_30,103,2,0.06426,0.4611,0.0407,True
t3_bbb_20_2_0_2_0,105,2,0.00507,0.4161,0.0199,False
t5_bbb_20_2_0_2_0,105,2,0.00552,0.4,0.0233,True
t1_open_ROC_10,117,2,0.00067,0.0532,0.6812,True
t1_open_Gap_Pct,117,2,0.0,0.0687,0.6812,False
t1_open_MOM_10,121,2,0.0,0.0434,0.6812,False
t1_open_MACDh_12_26_9,121,2,0.0,0.0414,0.6812,True
t1_open_AO,122,2,0.0,0.0628,0.6813,False
