feature,hits,hit_rate,p_value,status
t10_volume_ma5,100,1.0,0.0,confirmed
t1_open_Volume,100,1.0,0.0,confirmed
t1_close_HV_20,100,1.0,0.0,confirmed
t10_atr_14_slope,100,1.0,0.0,confirmed
t3_atr_14_slope,100,1.0,0.0,confirmed
has_t1_features,100,1.0,0.0,confirmed
t1_close_BBB_20_2.0_2.0,100,1.0,0.0,confirmed
t1_close_Volume,100,1.0,0.0,confirmed
t3_kcle_20_2,100,1.0,0.0,confirmed
t3_hv_30,100,1.0,0.0,confirmed
t3_cci_14,100,1.0,0.0,confirmed
t3_bbb_20_2_0_2_0,100,1.0,0.0,confirmed
t10_hv_30,100,1.0,0.0,confirmed
t3_atr_14,100,1.0,0.0,confirmed
t10_atr_20,98,0.98,0.0,confirmed
t3_roc_10,97,0.97,0.0,confirmed
t1_close_DCL_20_20,97,0.97,0.0,confirmed
t3_dcu_20_20,95,0.95,0.0,confirmed
t10_macdh_12_26_9,95,0.95,0.0,confirmed
t3_sma_20_50_diff,95,0.95,0.0,confirmed
t5_atr_14_slope,92,0.92,0.0,confirmed
t1_open_BBB_20_2.0_2.0,90,0.9,0.0,confirmed
t3_volume_ma5,88,0.88,0.0,confirmed
t1_close_Volume_Ratio,74,0.74,0.0,confirmed
t1_close_ATR_14,68,0.68,0.00041,confirmed
t10_obv,68,0.68,0.00041,confirmed
t10_macds_fast,62,0.62,0.02098,confirmed
t3_obv,62,0.62,0.02098,confirmed
t1_open_Volume_Ratio,60,0.6,0.05689,tentative
t10_volume_ma20,55,0.55,0.3682,tentative
t3_dmp_14,52,0.52,0.76435,tentative
t10_hv_10,51,0.51,0.92041,tentative
t1_close_Gap_Pct,49,0.49,0.92041,tentative
t3_macd_fast,43,0.43,0.19335,tentative
t10_stochk_14_3_3,41,0.41,0.08863,tentative
t1_open_ATR_14,35,0.35,0.00352,rejected
t3_rsi_21,34,0.34,0.00179,rejected
t5_obv_sma20,34,0.34,0.00179,rejected
t1_open_SMA_20_Slope,32,0.32,0.00041,rejected
t1_close_TSIs_13_25_13,32,0.32,0.00041,rejected
t3_supertl_10_3,31,0.31,0.00018,rejected
t10_rsi_21,29,0.29,3e-05,rejected
t1_open_Volume_MA5,29,0.29,3e-05,rejected
t1_close_ADX_14,26,0.26,0.0,rejected
