generation,best_fitness,mean_fitness,best_n_features
0,0.7601372557436987,0.7458029670660661,9
1,0.7658424799001097,0.7528480712489748,8
2,0.7658424799001097,0.7573196009589018,8
3,0.7658424799001097,0.7596213800236888,8
4,0.7658424799001097,0.7598979910618462,8
5,0.7658424799001097,0.7622233972106164,8
6,0.7658424799001097,0.7599442973701362,8
7,0.7658424799001097,0.7605203112886135,8
8,0.7658424799001097,0.761232603433038,8
9,0.7658424799001097,0.7619291454847399,8
10,0.7658424799001097,0.7615816697305542,8
11,0.7658424799001097,0.7609388563929893,8
12,0.7658424799001097,0.7611489595736234,8
13,0.7658424799001097,0.7620040244718321,8
14,0.7658424799001097,0.7601119216562106,8
15,0.7658424799001097,0.7604236380514138,8
16,0.7658424799001097,0.7614935447315094,8
17,0.7658424799001097,0.7613127010173427,8
18,0.7658424799001097,0.7612842791898523,8
19,0.7658424799001097,0.716531812838181,8
20,0.7658424799001097,0.761162607887983,8
21,0.7658424799001097,0.7613023617455841,8
22,0.7658424799001097,0.7596903633428,8
23,0.7658424799001097,0.7608078694934495,8
24,0.7658424799001097,0.7619120563534856,8
